human_disturbance_index	native_species_richness	soil_suitability_score	pathway_complexity	management_effectiveness	proximity_to_water	mean_annual_precipitation	mean_annual_temperature	invEstablished	habitat_disturbance	land_use_type	soil_texture	pathway_type	management_intensity
1.6127840272010678	1.9092719946558396	-0.11276884470134974	0.5283896382898092	0.568608368979767	1.4163414348584773	-0.8062354778656078	-0.9675266522902137	no	Low	Agriculture	Clayey	Intentional	None
-0.5609458499851001	-0.8897900196808324	-0.3433079239912331	0.6463878843933344	0.21788058057427406	0.5572339850131662	-0.603947796589617	-0.3497757662516967	yes	Moderate	Forest	Loamy	Intentional	Medium
1.4868143108211185	-0.5539205309112583	-0.5842966558411717	0.8340490276459605	0.10151546634733677	0.9812413132394971	-2.5706061745859143	-3.4124874393721507	yes	High	Grassland	Sandy	Intentional	None
2.0001093900055116	-0.37425591979262485	-0.6161572248674929	0.34576255292631686	0.6981022541876882	-0.5861828590258814	-0.9363452421853217	-0.3962063554087959	yes	Moderate	Agriculture	Loamy	Intentional	Low
1.2835361782457197	-0.24495205125910358	-0.25522803887724876	0.6217329273931682	0.19272579066455364	0.9391705755539117	0.11488050188969703	0.46006738913947365	yes	Low	Agriculture	Clayey	Unintentional	None
-0.3527522238908406	0.08011340559216018	0.45240611117333174	0.6631952950265259	0.862930818926543	-0.06470105275104529	-0.08175179348191847	-0.0503432944164974	no	Low	Forest	Loamy	Intentional	Low
2.031629819824129	1.8515405011501997	0.29468633187934756	0.4445083374157548	0.7344478219747543	-0.254425206969535	-0.7306740781689284	-0.93968799849721385	no	High	Urban	Sandy	Intentional	None
0.31270418411037326	-0.5558876569281801	0.45425370149314404	0.7402211304288357	0.6737220911309123	-0.8669527303653594	-0.46919392349237615	-0.8160045938354807	yes	Low	Grassland	Clayey	Intentional	Medium
3.0553331124301244	2.1300912969786023	-0.9539009584113955	0.37209448916837573	0.45793770905584097	-2.2075568102664618	0.1815345179967983	0.14433705157605822	no	High	Forest	Loamy	Unintentional	Low
-0.4068691771969458	0.24575373953898783	-0.8447219454683363	0.041365301702171564	0.5084848087280989	-0.9154344514205194	-0.4566032100555481	0.5960806629067231	yes	Low	Wetland	Loamy	Unintentional	Medium
2.629121797511802	0.7231490411568003	-0.6823780704289675	0.45271313353441656	0.3988513210788369	-0.24496387801315184	-2.1772712992813457	-2.051370379795645	yes	High	Urban	Clayey	Unintentional	None
2.4946220424180816	3.3798763364176723	0.9156401040963829	0.8626447936985642	0.5734558869153261	1.076244851720159	-0.9451384563764306	-0.8262392365507022	yes	Moderate	Wetland	Loamy	Intentional	Medium
-2.0498309773865904	-1.518216767644592	0.2234535221941769	0.8142210256773978	0.23615290643647313	0.32010171779097	0.524236296877847	-0.662376715814854	no	High	Forest	Sandy	Intentional	Low
0.1566252737141028	-0.8728465837317776	0.15198151441290975	0.1665592601057142	0.0947021315805614	0.12877465123842927	0.681082975457596	0.9982680784418889	yes	Moderate	Grassland	Sandy	Intentional	None
-0.11342590131284684	-0.22908281342215092	-0.7291877656243742	0.5836010358761996	0.021684583043679595	0.10780759880444898	-1.8121228219862702	-2.132817506079793	yes	Moderate	Agriculture	Loamy	Intentional	None
0.28852786530560304	1.345258289035352	0.9136676588095725	0.8125916193239391	0.5342977060936391	0.2675183125750775	-0.06267272926329778	-0.07758731126839635	yes	Moderate	Urban	Loamy	Intentional	Medium
